week,state,state_name,disease,cases,incidence_per_capita
196601,AL,ALABAMA,HEPATITIS A,5,0.14
196601,AR,ARKANSAS,HEPATITIS A,11,0.58
196601,AZ,ARIZONA,HEPATITIS A,6,0.37
196601,CA,CALIFORNIA,HEPATITIS A,89,0.47
196601,CO,COLORADO,HEPATITIS A,1,0.05
196601,CT,CONNECTICUT,HEPATITIS A,9,0.31
196601,DE,DELAWARE,HEPATITIS A,3,0.58
196601,FL,FLORIDA,HEPATITIS A,7,0.11
196601,GA,GEORGIA,HEPATITIS A,4,0.09
196601,HI,HAWAII,HEPATITIS A,3,0.42
196601,IA,IOWA,HEPATITIS A,12,0.43
196601,ID,IDAHO,HEPATITIS A,2,0.29
196601,IL,ILLINOIS,HEPATITIS A,6,0.06
196601,IN,INDIANA,HEPATITIS A,2,0.04
196601,KS,KANSAS,HEPATITIS A,6,0.27
196601,KY,KENTUCKY,HEPATITIS A,26,0.83
196601,LA,LOUISIANA,HEPATITIS A,1,0.03
196601,MA,MASSACHUSETTS,HEPATITIS A,10,0.18
196601,MD,MARYLAND,HEPATITIS A,9,0.24
196601,ME,MAINE,HEPATITIS A,6,0.6
196601,MI,MICHIGAN,HEPATITIS A,84,0.99
196601,MN,MINNESOTA,HEPATITIS A,3,0.08
196601,MO,MISSOURI,HEPATITIS A,5,0.11
196601,MS,MISSISSIPPI,HEPATITIS A,1,0.04
196601,MT,MONTANA,HEPATITIS A,2,0.28
196601,NC,NORTH CAROLINA,HEPATITIS A,8,0.16
196601,ND,NORTH DAKOTA,HEPATITIS A,1,0.15
196601,NH,NEW HAMPSHIRE,HEPATITIS A,3,0.44
196601,NJ,NEW JERSEY,HEPATITIS A,21,0.31
196601,NM,NEW MEXICO,HEPATITIS A,13,1.29
196601,NV,NEVADA,HEPATITIS A,3,0.67
196601,OH,OHIO,HEPATITIS A,40,0.39
196601,OR,OREGON,HEPATITIS A,14,0.71
196601,PA,PENNSYLVANIA,HEPATITIS A,26,0.22
196601,RI,RHODE ISLAND,HEPATITIS A,6,0.67
196601,SC,SOUTH CAROLINA,HEPATITIS A,4,0.16
196601,TN,TENNESSEE,HEPATITIS A,93,2.43
196601,TX,TEXAS,HEPATITIS A,62,0.59
196601,UT,UTAH,HEPATITIS A,1,0.1
196601,VA,VIRGINIA,HEPATITIS A,11,0.25
196601,WA,WASHINGTON,HEPATITIS A,5,0.16
196601,WI,WISCONSIN,HEPATITIS A,15,0.35
196601,WV,WEST VIRGINIA,HEPATITIS A,1,0.06
196601,WY,WYOMING,HEPATITIS A,1,0.31
196602,AK,ALASKA,HEPATITIS A,6,2.21
196602,AL,ALABAMA,HEPATITIS A,3,0.09
196602,AR,ARKANSAS,HEPATITIS A,6,0.32
196602,AZ,ARIZONA,HEPATITIS A,25,1.55
196602,CA,CALIFORNIA,HEPATITIS A,122,0.65
196602,CO,COLORADO,HEPATITIS A,3,0.15
196602,CT,CONNECTICUT,HEPATITIS A,8,0.28
196602,DE,DELAWARE,HEPATITIS A,3,0.58
196602,FL,FLORIDA,HEPATITIS A,11,0.18
196602,HI,HAWAII,HEPATITIS A,1,0.14
196602,IA,IOWA,HEPATITIS A,5,0.18
196602,ID,IDAHO,HEPATITIS A,2,0.29
196602,IL,ILLINOIS,HEPATITIS A,28,0.26
196602,IN,INDIANA,HEPATITIS A,8,0.16
196602,KS,KANSAS,HEPATITIS A,4,0.18
196602,KY,KENTUCKY,HEPATITIS A,23,0.73
196602,LA,LOUISIANA,HEPATITIS A,8,0.23
196602,MA,MASSACHUSETTS,HEPATITIS A,10,0.18
196602,MD,MARYLAND,HEPATITIS A,10,0.27
196602,ME,MAINE,HEPATITIS A,17,1.7
196602,MI,MICHIGAN,HEPATITIS A,47,0.55
196602,MN,MINNESOTA,HEPATITIS A,3,0.08
196602,MO,MISSOURI,HEPATITIS A,5,0.11
196602,MS,MISSISSIPPI,HEPATITIS A,9,0.4
196602,NC,NORTH CAROLINA,HEPATITIS A,14,0.29
196602,ND,NORTH DAKOTA,HEPATITIS A,1,0.15
196602,NH,NEW HAMPSHIRE,HEPATITIS A,1,0.15
196602,NJ,NEW JERSEY,HEPATITIS A,25,0.36
196602,NM,NEW MEXICO,HEPATITIS A,15,1.49
196602,NV,NEVADA,HEPATITIS A,4,0.9
196602,NY,NEW YORK,HEPATITIS A,74,0.41
196602,OH,OHIO,HEPATITIS A,25,0.24
196602,OR,OREGON,HEPATITIS A,19,0.96
196602,PA,PENNSYLVANIA,HEPATITIS A,38,0.33
196602,SC,SOUTH CAROLINA,HEPATITIS A,2,0.08
196602,TN,TENNESSEE,HEPATITIS A,32,0.84
196602,TX,TEXAS,HEPATITIS A,40,0.38
196602,UT,UTAH,HEPATITIS A,4,0.4
196602,VA,VIRGINIA,HEPATITIS A,12,0.27
196602,WA,WASHINGTON,HEPATITIS A,9,0.29
196602,WI,WISCONSIN,HEPATITIS A,9,0.21
196602,WV,WEST VIRGINIA,HEPATITIS A,4,0.23
196603,AL,ALABAMA,HEPATITIS A,2,0.06
196603,AR,ARKANSAS,HEPATITIS A,2,0.11
196603,AZ,ARIZONA,HEPATITIS A,9,0.56
196603,CA,CALIFORNIA,HEPATITIS A,98,0.52
196603,CT,CONNECTICUT,HEPATITIS A,5,0.17
196603,DE,DELAWARE,HEPATITIS A,2,0.39
196603,FL,FLORIDA,HEPATITIS A,18,0.29
196603,HI,HAWAII,HEPATITIS A,2,0.28
196603,IA,IOWA,HEPATITIS A,4,0.14
196603,IL,ILLINOIS,HEPATITIS A,24,0.22
196603,IN,INDIANA,HEPATITIS A,10,0.2
196603,KS,KANSAS,HEPATITIS A,8,0.36
196603,KY,KENTUCKY,HEPATITIS A,17,0.54
196603,LA,LOUISIANA,HEPATITIS A,10,0.28
196601,AL,ALABAMA,HEPATITIS A,5,0.14
196601,AR,ARKANSAS,HEPATITIS A,11,0.58
196601,AZ,ARIZONA,HEPATITIS A,6,0.37
196601,CA,CALIFORNIA,HEPATITIS A,89,0.47
196601,CO,COLORADO,HEPATITIS A,1,0.05
196601,CT,CONNECTICUT,HEPATITIS A,9,0.31
196601,DE,DELAWARE,HEPATITIS A,3,0.58
196601,FL,FLORIDA,HEPATITIS A,7,0.11
196601,GA,GEORGIA,HEPATITIS A,4,0.09
196601,HI,HAWAII,HEPATITIS A,3,0.42
196601,IA,IOWA,HEPATITIS A,12,0.43
196601,ID,IDAHO,HEPATITIS A,2,0.29
196601,IL,ILLINOIS,HEPATITIS A,6,0.06
196601,IN,INDIANA,HEPATITIS A,2,0.04
196601,KS,KANSAS,HEPATITIS A,6,0.27
196601,KY,KENTUCKY,HEPATITIS A,26,0.83
196601,LA,LOUISIANA,HEPATITIS A,1,0.03
196601,MA,MASSACHUSETTS,HEPATITIS A,10,0.18
196601,MD,MARYLAND,HEPATITIS A,9,0.24
196601,ME,MAINE,HEPATITIS A,6,0.6
196601,MI,MICHIGAN,HEPATITIS A,84,0.99
196601,MN,MINNESOTA,HEPATITIS A,3,0.08
196601,MO,MISSOURI,HEPATITIS A,5,0.11
196601,MS,MISSISSIPPI,HEPATITIS A,1,0.04
